MASV,DM1,DM2,DM3,DTC
4352030070,7.1,8.7,8.6,24.4
4352030080,6.7,6.8,7.6,21.1
4352030089,6.3,7.4,7.5,21.2
4352030161,5.5,6.6,7.75,19.85
4352030093,6.6,6.74,7.06,20.4
4352030100,6.5,6.8,7.1,20.4
4352030102,5.6,6.4,8.4,20.4
4352030103,6.8,6.8,7.6,21.2
4352030106,5.1,6.17,7.9,19.17
4352050042,7.6,7.2,7.4,22.2
4352050013,7.6,6.8,7.4,21.8
4352050020,8.36,7.1,8.26,23.72
4352050021,6.5,5.62,6.4,18.52
4352050022,6.6,8.4,8.0,23.0
4352050023,6.38,8.18,6.58,21.14
4352050027,7.1,7.8,7.5,22.4
4352050035,7.3,7.5,8.23,23.03
4352050036,7.23,7.17,5.23,19.63
4352050037,5.13,5.97,7.83,18.93
4352060001,6.54,7.9,7.46,21.9
4352060005,6.26,8.56,7.58,22.4
4352060065,5.9,5.3,6.9,18.1
4352060008,8.0,7.7,8.6,24.3
4352060010,5.8,6.26,7.46,19.52
4352060011,7.7,8.1,8.7,24.5
4352060017,6.5,6.0,7.2,19.7
4352060018,6.94,6.94,7.28,21.16
4352060019,6.38,6.96,7.16,20.5
4352060022,7.0,6.6,6.7,20.3
4352060070,7.1,7.5,8.1,22.7
4352060038,6.7,7.1,6.7,20.5
4352060083,6.1,5.8,7.5,19.4
4352060040,6.7,7.1,7.1,20.9
4352060094,6.1,6.1,5.9,18.1
4352060073,6.3,7.4,7.8,21.5
4352060047,5.27,6.07,6.23,17.57
4352060052,7.64,6.48,7.44,21.56
4352060072,6.1,7.1,6.3,19.5
4352060084,6.0,5.6,7.25,18.85
4352060058,5.33,6.33,6.4,18.06
4352060085,7.4,6.3,7.3,21.0
4352070003,7.48,7.02,7.32,21.82
4352070004,8.13,7.2,8.23,23.56
4352070008,6.88,5.3,6.0,18.18
4352070020,6.37,6.1,7.7,20.17
4352070262,7.4,7.5,5.6,20.0
4352070220,6.9,7.6,7.9,22.4
4352070208,7.1,6.9,7.2,21.2
4352070030,6.56,5.66,5.84,18.06
4352070031,7.3,6.6,7.8,21.7
4352070222,7.0,7.6,7.1,21.7
4352070209,7.0,6.9,7.5,21.4
4352070039,6.86,8.92,8.32,24.1
4352070049,7.24,7.52,7.38,22.14
4352070052,7.8,7.1,8.4,23.3
4352070055,7.92,8.42,8.28,24.62
4352070213,6.1,7.5,8.0,21.6
4352070060,5.52,5.4,6.76,17.68
4352070067,7.16,5.08,5.66,17.9
4352070069,6.8,6.0,6.3,19.1
4352070070,8.0,7.3,8.0,23.3
4352070083,6.17,5.73,7.73,19.63
4352070087,6.96,6.38,6.66,20.0
4352070225,7.2,6.5,6.0,19.7
4352070113,6.94,6.84,7.0,20.78
4352070115,7.27,6.83,7.47,21.57
4352070116,6.8,6.0,6.3,19.1
4352070118,7.54,7.66,7.9,23.1
4352070121,8.2,7.7,8.2,24.1
4352070134,6.4,7.6,7.3,21.3
4352070263,6.4,5.7,6.7,18.8
4352070136,6.78,6.64,6.36,19.78
4352070218,7.12,8.3,7.96,23.38
4352070137,7.84,8.68,8.8,25.32
4352070146,7.03,8.1,7.7,22.83
4352070148,6.58,6.86,7.04,20.48
4352070149,7.0,7.0,7.8,21.8
4352070153,6.8,7.0,8.4,22.2
4352070154,6.5,8.26,7.06,21.82
4352070224,7.7,7.3,7.9,22.9
4352070161,6.8,6.58,6.9,20.28
4352070164,7.24,6.7,7.88,21.82
4352070166,6.1,6.7,8.04,20.84
4352070167,6.53,6.2,8.1,20.83
4352070219,5.6,6.8,6.3,19.2
4352070176,7.44,7.54,7.92,22.9
4352070221,5.2,6.8,6.2,18.2
4352070181,5.87,7.0,7.4,20.27
4352070182,6.48,6.1,5.98,18.56
4352070188,7.7,7.5,7.2,22.4
4352070190,5.8,6.7,6.7,19.2
4352070197,7.2,7.3,8.2,22.7
4352070202,7.5,7.26,7.82,22.58
4352080015,8.0,6.9,7.7,22.6
4352080004,8.0,7.0,7.5,22.5
4352080025,6.66,6.92,6.34,19.92
4352080027,5.63,6.57,6.7,18.9
4353010014,8.3,9.2,9.3,26.8
4353010012,8.0,7.84,8.3,24.14
4353030002,6.73,6.87,8.0,21.6
4353030006,9.1,9.07,8.33,26.5
4353030010,6.97,7.43,7.67,22.07
4353030012,6.83,7.77,7.0,21.6
4353030013,7.06,7.44,7.46,21.96
4353030015,8.3,8.3,7.1,23.7
4353030019,6.2,7.1,6.3,19.6
4353030021,7.44,6.9,6.92,21.26
4353030023,7.1,6.7,7.33,21.13
4353030041,7.2,8.1,6.9,22.2
4353030043,6.9,7.5,8.0,22.4
4353030033,7.83,8.3,7.57,23.7
4353030035,6.46,7.2,6.34,20.0
4353030042,8.0,7.6,7.5,23.6
4353030038,5.97,6.6,7.4,19.97
4354010968,5.6,7.3,5.6,18.5
4354010969,5.9,6.7,7.5,20.1
4354010911,6.1,7.1,7.9,21.1
4354010923,8.1,7.0,7.0,22.1
4354010971,6.8,6.0,7.0,19.8
4354010008,6.86,6.44,6.86,20.16
4354011118,7.7,7.3,8.3,23.3
4354010011,8.7,6.5,8.43,23.63
4354010015,8.8,7.9,9.4,26.1
4354010016,6.92,7.0,6.3,20.22
4354010972,8.0,6.6,5.5,20.1
4354010018,6.86,5.72,6.24,18.82
4354010974,7.2,6.3,7.3,20.8
4354010020,6.26,7.06,6.1,19.42
4354010021,6.5,6.36,5.76,18.62
4354010024,6.8,7.26,6.82,20.88
4354010975,7.5,6.3,7.2,21.0
4354010031,8.9,8.6,6.5,24.0
4354010036,6.93,6.13,6.97,20.03
4354010833,6.04,7.22,5.98,19.24
4354011114,6.0,5.98,7.4,19.38
4354010039,6.36,5.82,6.84,19.02
4354010041,6.9,6.6,6.2,19.7
4354010977,7.8,7.4,7.0,22.2
4354010978,7.6,7.0,7.6,22.2
4354010044,6.32,6.26,6.32,18.9
4354011113,7.5,6.9,6.8,21.2
4354010948,6.3,7.0,7.3,20.6
4354010946,6.8,7.6,7.6,22.0
4354010046,5.8,6.67,6.4,18.87
4354010052,7.67,8.1,6.8,22.57
4354010053,8.2,7.2,7.5,22.9
4354010055,6.3,7.2,7.6,21.1
4354010056,8.1,7.4,8.7,24.2
4354011081,6.5,7.8,7.0,21.3
4354010060,6.6,6.9,5.8,19.3
4354010061,7.4,6.8,7.0,21.2
4354010062,6.86,6.18,7.32,20.36
4354010981,6.9,6.9,7.5,21.3
4354010983,6.9,8.8,8.6,24.3
4354010065,6.6,7.34,7.64,21.58
4354010066,6.1,6.64,6.78,19.52
4354010069,7.92,7.52,6.86,22.3
4354010071,6.76,6.94,7.64,21.34
4354010073,6.28,6.26,5.66,18.2
4354010078,7.08,8.44,6.2,21.72
4354010080,7.18,6.22,6.22,19.62
4354010083,6.9,6.1,6.2,19.2
4354010085,7.2,7.9,7.9,23.0
4354010087,6.6,6.2,5.9,18.7
4354010095,8.0,7.8,7.75,23.55
4354010100,7.27,8.2,8.53,24.0
4354010836,7.0,6.6,6.7,20.3
4354010837,7.3,7.5,6.6,21.4
4354010114,7.4,7.06,7.26,21.72
4354010838,5.7,6.6,6.5,18.8
4354010115,8.0,8.0,8.5,24.5
4354010839,5.8,6.7,6.2,18.7
4354010840,6.5,6.4,5.8,18.7
4354010841,7.5,8.4,8.7,24.6
4354010121,6.26,6.68,6.32,19.26
4354010123,7.0,7.3,7.7,22.0
4354010125,6.4,5.98,6.94,19.32
4354010921,7.9,7.8,7.9,23.6
4354011084,7.25,6.2,2.0,15.45
4354010133,6.1,7.0,6.8,19.9
4354010134,8.08,8.06,7.86,24.0
4354010136,8.32,8.46,7.36,24.14
4354010141,6.6,7.4,7.03,21.03
